,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
212355060,['5'],212355,LOS ANGELES AVE,060,THE ALAMEDA,CONTRA COSTA AVE,20160,2022-07-14,34,1986-11-01,THICK AC OVERLAY(2.5 INCHES),35.0,1986.0,3 - Heavy Rehab,Residential/Local,420,48,Overlay of asphalt over asphalt
114355065,['5'],114355,LOS ANGELES AVE,065,THE CIRCLE,SPRUCE ST,52650,2022-07-14,71,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,1755,30,Asphalt
212355065,['5'],212355,LOS ANGELES AVE,065,CONTRA COSTA AVE,THE CIRCLE,20280,2022-07-14,71,2003-11-06,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,845,24,Asphalt
933360060,['2'],933360,MABEL ST,060,DWIGHT WAY,PARKER ST,23220,2022-07-13,29,1993-09-01,MILL AND OVERLAY W/FABRIC,28.0,1993.0,3 - Heavy Rehab,Residential/Local,645,36,Overlay of asphalt over asphalt
933360062,['2'],933360,MABEL ST,062,PARKER ST,DERBY ST,23400,2022-07-13,17,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,650,36,Overlay of asphalt over asphalt
933360064,['2'],933360,MABEL ST,064,DERBY ST,WARD ST,10620,2022-07-13,32,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,295,36,Overlay of asphalt over asphalt
933360065,['2'],933360,MABEL ST,065,WARD ST,RUSSELL ST,43092,2022-07-13,29,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,1197,36,Overlay of asphalt over asphalt
933360067,['2'],933360,MABEL ST,067,RUSSELL ST,ASHBY AVE,18828,2022-07-13,32,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,523,36,Overlay of asphalt over asphalt
940360070,['2'],940360,MABEL ST,070,ASHBY AVE,66TH ST,44928,2022-07-13,71,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,1248,36,Overlay of asphalt over asphalt
213361050,['5'],213361,MADERA ST,050,TULARE AVE,COLUSA AVE,26464,2022-07-19,70,1989-12-01,MILL AND OVERLAY W/FABRIC,32.0,1989.0,3 - Heavy Rehab,Residential/Local,827,32,Overlay of asphalt over asphalt
213363050,['5'],213363,MARIN AVE,050,WEST CITY LIMIT (TULARE AVE),THE ALAMEDA,99300,2022-07-19,81,2011-11-30,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Arterial,1655,60,Overlay of asphalt over asphalt
212363060,['5'],212363,MARIN AVE,060,THE ALAMEDA,THE CIRCLE,69000,2022-07-19,79,2011-11-30,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Arterial,1150,60,Overlay of asphalt over asphalt
112363065,['5'],112363,MARIN AVE,065,THE CIRCLE,SPRUCE ST,37858,2022-07-19,58,,,,,,Collector,1646,23,Portland cement
111363070,['6'],111363,MARIN AVE,070,SPRUCE ST,EUCLID AVE,24150,2022-07-07,64,,,,,,Collector,1050,23,Portland cement
111363074,['6'],111363,MARIN AVE,074,EUCLID AVE,GRIZZLY PEAK BLVD,24794,2022-07-07,44,,,,,,Collector,1078,23,Portland cement
111363078,['6'],111363,MARIN AVE,078,GRIZZLY PEAK BLVD,CRESTON RD,9240,2022-07-07,19,1999-09-08,RECONSTRUCT SURFACE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,330,28,Asphalt
111363079,['6'],111363,MARIN AVE,079,CRESTON RD,DEAD END (PACIFIC LUTHERAN),13500,2022-07-07,39,1999-09-08,RECONSTRUCT STRUCTURE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,450,30,Asphalt
320685010,['1'],320685,MARINA BLVD,010,SPINNAKER WAY,UNIVERSITY AVE,60750,2022-07-27,100,2022-06-03,MILL AND THICK OVERLAY,0.0,2022.0,3 - Heavy Rehab,Collector,2250,27,Overlay of asphalt over asphalt
114364020,['5'],114364,MARIPOSA AVE,020,LOS ANGELES AVE,AMADOR AVE,38520,2022-07-14,83,2003-11-06,RECONSTRUCT SURFACE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1070,36,Asphalt
417250030,['5'],417250,MARTIN LUTHER KING JR W,030,YOLO AVE,CEDAR ST,104400,2022-07-14,52,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,2610,40,Overlay of asphalt over asphalt
424250040,"['1', '4']",424250,MARTIN LUTHER KING JR W,040,CEDAR ST,UNIVERSITY AVE,131600,2022-07-21,61,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,2350,56,Overlay of asphalt over asphalt
829250051,['4'],829250,MARTIN LUTHER KING JR W,051,UNIVERSITY AVE,ADDISON ST,20100,2022-07-27,90,2022-03-26,SLURRY SEAL,0.0,2022.0,0 - Light Maintenance,Arterial,335,60,Overlay of asphalt over asphalt
829250053,['4'],829250,MARTIN LUTHER KING JR W,053,ADDISON ST,ALLSTON WAY,39900,2022-07-27,53,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,665,60,Overlay of asphalt over asphalt
829250055,['4'],829250,MARTIN LUTHER KING JR W,055,ALLSTON WAY,DWIGHT WAY,110880,2022-07-27,62,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,1980,56,Overlay of asphalt over asphalt
835250060,['3'],835250,MARTIN LUTHER KING JR W,060,DWIGHT WAY,ASHBY AVE,189448,2022-07-12,55,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,3383,56,Overlay of asphalt over asphalt
839250070,['3'],839250,MARTIN LUTHER KING JR W,070,ASHBY AVE,WOOLSEY ST & ADELINE ST,64025,2022-07-12,65,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,985,65,Overlay of asphalt over asphalt
839250075,['3'],839250,MARTIN LUTHER KING JR W,075,63RD ST,MARTIN LUTHER KING JR WAY,12480,2022-07-12,34,1988-11-01,SLURRY SEAL,33.0,1988.0,0 - Light Maintenance,Residential/Local,520,24,Asphalt
839250078,['3'],839250,MARTIN LUTHER KING JR W,078,ADELINE ST,SOUTH CITY LIMIT,24120,2022-07-12,69,2008-08-11,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,335,72,Overlay of asphalt over asphalt
112366060,['5'],112366,MARYLAND AVE,060,VERMONT AVE,KENTUCKY AVE,16510,2022-07-18,47,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,635,26,Asphalt
319368030,['1'],319368,MASONIC AVE,030,NORTH CITY LIMIT,SANTA FE AVE,14400,2022-07-21,82,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,480,30,Asphalt
933369060,['2'],933369,MATHEWS ST,060,DWIGHT WAY,PARKER ST,23220,2022-07-13,100,2021-04-20,MILL AND OVERLAY,1.0,2021.0,3 - Heavy Rehab,Residential/Local,645,36,Overlay of asphalt over asphalt
933369062,['2'],933369,MATHEWS ST,062,PARKER ST,CARLETON ST,11700,2022-07-13,100,2021-04-20,MILL AND OVERLAY,1.0,2021.0,3 - Heavy Rehab,Residential/Local,325,36,Overlay of asphalt over asphalt
933369064,['2'],933369,MATHEWS ST,064,CARLETON ST,WARD ST,22644,2022-07-13,14,1993-09-01,MILL AND OVERLAY W/FABRIC,28.0,1993.0,3 - Heavy Rehab,Residential/Local,629,36,Overlay of asphalt over asphalt
933369066,['2'],933369,MATHEWS ST,066,WARD ST,RUSSELL ST,43488,2022-07-13,25,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,1208,36,Overlay of asphalt over asphalt
418371030,['5'],418371,MC GEE AVE,030,HOPKINS ST,ROSE ST,29052,2022-07-18,54,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,807,36,Asphalt
418371035,['5'],418371,MC GEE AVE,035,ROSE ST,CEDAR ST,39780,2022-07-18,11,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1105,36,Overlay of asphalt over asphalt
423371040,['1'],423371,MC GEE AVE,040,CEDAR ST,VIRGINIA ST,23220,2022-07-21,36,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,645,36,Overlay of asphalt over asphalt
423371043,['1'],423371,MC GEE AVE,043,VIRGINIA ST,OHLONE PARK,30528,2022-07-21,43,1997-07-22,MILL AND OVERLAY W/FABRIC,25.0,1997.0,3 - Heavy Rehab,Residential/Local,848,36,Overlay of asphalt over asphalt
423371047,['1'],423371,MC GEE AVE,047,HEARST AVE,UNIVERSITY AVE,21600,2022-07-21,50,1997-07-11,MILL AND OVERLAY W/FABRIC,25.0,1997.0,3 - Heavy Rehab,Residential/Local,600,36,Overlay of asphalt over asphalt
830371050,['4'],830371,MC GEE AVE,050,UNIVERSITY AVE,DWIGHT WAY,126210,2022-07-27,26,1997-07-15,MILL AND OVERLAY W/FABRIC,25.0,1997.0,3 - Heavy Rehab,Residential/Local,3005,42,Overlay of asphalt over asphalt
834371060,['3'],834371,MC GEE AVE,060,DWIGHT WAY,DERBY ST,48600,2022-07-11,60,1988-07-01,THIN OVERLAY w/FABRIC,34.0,1988.0,1 - Heavy Maintenance,Residential/Local,1350,36,Overlay of asphalt over asphalt
834371065,['3'],834371,MC GEE AVE,065,DERBY ST,RUSSELL ST,48348,2022-07-11,46,1998-12-10,RECONSTRUCT STRUCTURE (AC),23.0,1998.0,4 - Reconstruct,Residential/Local,1343,36,Asphalt
830372050,['4'],830372,MC KINLEY AVE,050,ADDISON ST,DWIGHT WAY,112140,2022-07-27,35,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,2670,42,Asphalt
212375017,['5'],212375,MENDOCINO PL,017,MENDOCINO AVE,LOS ANGELES AVE,2860,2022-07-19,21,,,,,,Residential/Local,110,26,Asphalt
213376050,['5'],213376,MENLO PL,050,THOUSAND OAKS BLVD,SANTA ROSA AVE,11760,2022-07-19,87,2014-07-25,RECONSTRUCT STRUCTURE (AC),7.0,2014.0,4 - Reconstruct,Residential/Local,490,24,Asphalt
213376055,['5'],213376,MENLO PL,055,SANTA ROSA AVE,THE ALAMEDA,10800,2022-07-19,87,2014-07-25,RECONSTRUCT STRUCTURE (AC),7.0,2014.0,4 - Reconstruct,Residential/Local,450,24,Asphalt
213377020,['5'],213377,MERCED ST,020,MADERA ST,SONOMA AVE,30880,2022-07-19,21,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,965,32,Asphalt
112378010,['5'],112378,MICHIGAN AVE,010,MARYLAND AVE,SPRUCE ST,35520,2022-07-18,97,2020-10-28,MILL AND THICK OVERLAY,1.0,2020.0,3 - Heavy Rehab,Residential/Local,1480,24,Overlay of asphalt over asphalt
115379020,['6'],115379,MIDDLEFIELD RD,020,DEAD END,THE CROSSWAYS,7470,2022-07-07,80,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,415,18,Overlay of asphalt over asphalt
115379022,['6'],115379,MIDDLEFIELD RD,022,THE CROSSWAYS,THE SHORTCUT,7560,2022-07-07,55,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,360,21,Overlay of asphalt over asphalt
115379025,['6'],115379,MIDDLEFIELD RD,025,THE SHORTCUT,PARK HILLS RD,11445,2022-07-07,71,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,545,21,Overlay of asphalt over asphalt
115380070,['6'],115380,MILLER AVE,070,POPPY LN,SHASTA RD,73710,2022-07-08,40,1994-06-01,RECONSTRUCT STRUCTURE (AC),28.0,1994.0,4 - Reconstruct,Residential/Local,3510,21,Asphalt
114382020,['5'],114382,MILVIA ST,020,HOPKINS ST,YOLO AVE,13920,2022-07-14,89,2014-07-25,MILL AND OVERLAY,7.0,2014.0,3 - Heavy Rehab,Residential/Local,435,32,Overlay of asphalt over asphalt
517382025,['5'],517382,MILVIA ST,025,YOLO AVE,EUNICE ST,6944,2022-07-14,51,,,,,,Residential/Local,217,32,Overlay of asphalt over asphalt
517382030,['5'],517382,MILVIA ST,030,EUNICE ST,BERRYMAN ST,17420,2022-07-14,88,2016-05-19,MILL AND OVERLAY,6.0,2016.0,3 - Heavy Rehab,Residential/Local,670,26,Overlay of asphalt over asphalt
517382032,['5'],517382,MILVIA ST,032,BERRYMAN ST,ROSE ST,23940,2022-07-14,85,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
517382034,['5'],517382,MILVIA ST,034,ROSE ST,CEDAR ST,47700,2022-07-26,24,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1325,36,Overlay of asphalt over asphalt
524382040,['4'],524382,MILVIA ST,040,CEDAR ST,HEARST AVE,59940,2022-07-26,31,1990-03-01,MILL AND THICK OVERLAY,32.0,1990.0,3 - Heavy Rehab,Collector,1665,36,Overlay of asphalt over asphalt
524382047,['4'],524382,MILVIA ST,047,UNIVERSITY AVE,HEARST AVE,24600,2022-07-28,90,2022-03-26,SLURRY SEAL,0.0,2022.0,0 - Light Maintenance,Collector,615,40,Overlay of asphalt over asphalt
729382050,['4'],729382,MILVIA ST,050,UNIVERSITY AVE,CENTER ST,26400,2022-07-28,90,2022-03-26,SLURRY SEAL,0.0,2022.0,0 - Light Maintenance,Collector,660,40,Overlay of asphalt over asphalt
729382052,['4'],729382,MILVIA ST,052,CENTER ST,CHANNING WAY,84405,2022-07-28,90,2022-03-26,SLURRY SEAL,0.0,2022.0,0 - Light Maintenance,Collector,1655,51,Overlay of asphalt over asphalt
729382058,['4'],729382,MILVIA ST,058,CHANNING WAY,BLAKE ST,35640,2022-07-11,88,2022-03-01,DEEP PATCH,0.0,2022.0,0 - Light Maintenance,Collector,990,36,Overlay of asphalt over asphalt
735382060,['3'],735382,MILVIA ST,060,BLAKE ST,RUSSELL ST,84240,2022-07-11,97,2020-05-26,FDR,2.0,2020.0,3 - Heavy Rehab,Residential/Local,2340,36,Asphalt
213383010,['5'],213383,MIRAMAR AVE,010,SAN LORENZO AVE,CAPISTRANO AVE,9880,2022-07-19,34,1996-08-01,MILL AND THICK OVERLAY,25.0,1996.0,3 - Heavy Rehab,Residential/Local,380,26,Overlay of asphalt over asphalt
418384030,['5'],418384,MIRAMONTE CT,030,ADA ST,SOUTH DEAD END (ADA ST),3780,2022-07-18,58,2008-08-27,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,180,21,Overlay of asphalt over asphalt
213385020,['5'],213385,MODOC ST,020,SOLANO AVE,MARIN AVE,20160,2022-07-19,97,2019-07-03,MILL AND THICK OVERLAY,3.0,2019.0,3 - Heavy Rehab,Residential/Local,560,36,Overlay of asphalt over asphalt
214386020,['5'],214386,MONTEREY AVE,020,MARIN AVE,THE ALAMEDA,24400,2022-07-19,85,2011-11-30,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Collector,400,61,Overlay of asphalt over asphalt
213386022,['5'],213386,MONTEREY AVE,022,THE ALAMEDA,HOPKINS ST,145680,2022-07-29,96,2020-09-15,MILL AND THICK OVERLAY,1.0,2020.0,3 - Heavy Rehab,Collector,3035,48,Overlay of asphalt over asphalt
112387060,['5'],112387,MONTROSE RD,060,SAN LUIS RD,SANTA BARBARA RD,8625,2022-07-18,44,1997-07-10,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,375,23,Overlay of asphalt over asphalt
112387065,['5'],112387,MONTROSE RD,065,SANTA BARBARA RD,SPRUCE ST,15360,2022-07-18,50,1997-07-10,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,640,24,Overlay of asphalt over asphalt
627388070,['8'],627388,MOSSWOOD RD,070,PANORAMIC WAY,DEAD END ABOVE ARDEN RD,12000,2022-07-28,92,2019-08-16,RECONSTRUCT STRUCTURE (AC),2.0,2019.0,4 - Reconstruct,Residential/Local,800,15,Asphalt
115389080,['6'],115389,MUIR WAY,080,GRIZZLY PEAK BLVD,PARK HILLS RD,9625,2022-07-07,44,2014-07-25,RECONSTRUCT STRUCTURE (AC),7.0,2014.0,4 - Reconstruct,Residential/Local,385,25,Asphalt
920390030,['2'],920390,MURRAY ST,030,7TH ST,SAN PABLO AVE,38338,2022-07-13,91,2019-07-03,RECONSTRUCT STRUCTURE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,1322,29,Asphalt
638391080,['8'],638391,MYSTIC ST,080,ROCKWELL ST,DEAD END NR ETON CT,2860,2022-07-28,72,,,,,,Residential/Local,110,26,Overlay of asphalt over asphalt
214400060,['5'],214400,NAPA AVE,060,HOPKINS ST,BLOCKADE @ THE ALAMEDA,31040,2022-07-14,39,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,970,32,Overlay of asphalt over asphalt
213401010,['5'],213401,NEILSON ST,010,VISALIA AVE,SOLANO AVE,68510,2022-07-19,69,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,2635,26,Asphalt
319401035,['1'],319401,NEILSON ST,035,BARTD,HOPKINS ST,31200,2022-07-19,23,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,1200,26,Overlay of asphalt over asphalt
735402068,['3'],735402,NEWBURY ST,068,RUSSELL ST,ASHBY AVE,16500,2022-07-08,54,1988-07-01,MILL AND OVERLAY W/FABRIC,34.0,1988.0,3 - Heavy Rehab,Residential/Local,550,30,Overlay of asphalt over asphalt
638404070,['8'],638404,NOGALES ST,070,THE PLAZA DR,PARKSIDE DR,11400,2022-07-20,77,2003-07-28,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,285,40,Asphalt
418405035,['5'],418405,NORTH ST,035,NORTH DEAD END (JAYNES ST),JAYNES ST,3720,2022-07-19,88,2016-05-18,RECONSTRUCT SURFACE (AC),6.0,2016.0,4 - Reconstruct,Residential/Local,155,24,Asphalt
931410050,['2'],931410,NORTH VALLEY ST,050,NORTH DEAD END (ALLSTON),ALLSTON WAY,8625,2022-07-12,71,1997-07-29,RECONSTRUCT PCC,24.0,1997.0,4 - Reconstruct,Residential/Local,375,23,Asphalt
112406060,['5'],112406,NORTHAMPTON AVE,060,SANTA BARBARA RD,SPRUCE ST,26450,2022-07-18,24,1999-09-08,RECONSTRUCT STRUCTURE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,1150,23,Asphalt
212544065,['5'],212544,NORTHBRAE TUNNEL,065,CONTRA COSTA AVE,DEL NORTE ST,33840,2022-07-19,92,2017-11-30,RECONSTRUCT STRUCTURE (AC),4.0,2017.0,4 - Reconstruct,Collector,1410,24,Asphalt
516407080,['6'],516407,NORTHGATE AVE,080,DEAD END (NORTHGATE PATH),SHASTA RD,18480,2022-07-07,87,2012-08-02,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,880,21,Asphalt
319409030,['1'],319409,NORTHSIDE AVE,030,GILMAN ST,BARTD,12900,2022-07-19,30,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,430,30,Overlay of asphalt over asphalt
319409035,['1'],319409,NORTHSIDE AVE,035,BARTD,HOPKINS ST,26400,2022-07-19,25,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,880,30,Overlay of asphalt over asphalt
637423060,['8'],637423,OAK KNOLL TERRACE,060,GARBER ST,AVALON AVE,17100,2022-07-29,15,1996-08-01,RECONSTRUCT SURFACE (AC),25.0,1996.0,4 - Reconstruct,Residential/Local,475,36,Asphalt
638425070,['8'],638425,OAK RIDGE RD,070,TUNNEL RD,DEAD END (OAK RIDGE STEPS),20400,2022-07-20,76,2003-07-28,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1200,17,Asphalt
115420070,['6'],115420,OAK ST,070,ARCH ST,GLEN AVE,7512,2022-07-07,11,,,,,,Residential/Local,313,24,Overlay of asphalt over asphalt
115420075,['6'],115420,OAK ST,075,WEST END,HIGH CT,3384,2022-07-07,8,,,,,,Residential/Local,141,24,Overlay of asphalt over asphalt
638426090,['8'],638426,OAKVALE AVE,090,CLAREMONT AVE,DOMINGO AVE,35700,2022-07-20,84,2011-12-15,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Residential/Local,1190,30,Overlay of asphalt over asphalt
516427030,['6'],516427,OLYMPUS AVE,030,AVENIDA DR,FAIRLAWN DR,20625,2022-07-07,25,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,825,25,Asphalt
516427035,['6'],516427,OLYMPUS AVE,035,FAIRLAWN DR,DEAD END (U C PLOT 82),15960,2022-07-07,20,,,,,,Residential/Local,760,21,Overlay of asphalt over asphalt
319429030,['1'],319429,ORDWAY ST,030,NORTH CITY LIMIT,HOPKINS ST,50040,2022-07-19,23,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,1390,36,Overlay of asphalt over asphalt
319429035,['1'],319429,ORDWAY ST,035,HOPKINS ST,ROSE ST,12740,2022-07-19,62,1988-11-01,MILL AND OVERLAY W/FABRIC,33.0,1988.0,3 - Heavy Rehab,Residential/Local,490,26,Overlay of asphalt over asphalt
933430040,['2'],933430,OREGON ST,040,SAN PABLO AVE,MABEL ST,28440,2022-07-12,18,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,790,36,Overlay of asphalt over asphalt
933430045,['2'],933430,OREGON ST,045,PARK ST,SACRAMENTO ST,35172,2022-07-12,24,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,977,36,Overlay of asphalt over asphalt
834430050,['3'],834430,OREGON ST,050,SACRAMENTO ST,CALIFORNIA ST,22320,2022-07-11,79,2008-09-03,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,620,36,Overlay of asphalt over asphalt
834430052,['3'],834430,OREGON ST,052,CALIFORNIA ST,GRANT ST,47484,2022-07-11,10,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1319,36,Overlay of asphalt over asphalt
834430055,['3'],834430,OREGON ST,055,GRANT ST,MARTIN LUTHER KING JR WAY,16200,2022-07-11,31,2000-06-16,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,450,36,Asphalt
835430060,['3'],835430,OREGON ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,28350,2022-07-11,33,2000-06-16,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,675,42,Asphalt
735430063,['3'],735430,OREGON ST,063,MILVIA ST,ADELINE ST,23520,2022-07-11,50,2000-06-16,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,560,42,Asphalt
735430064,['3'],735430,OREGON ST,064,ADELINE ST,SHATTUCK AVE,11004,2022-07-11,70,,,,,,Residential/Local,262,42,Asphalt
735430066,['3'],735430,OREGON ST,066,SHATTUCK AVE,FULTON ST,30600,2022-07-11,34,2000-06-16,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,850,36,Asphalt
736430070,"['3', '8']",736430,OREGON ST,070,FULTON ST,REGENT ST,73800,2022-07-11,75,2000-06-16,RECONSTRUCT STRUCTURE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,2050,36,Asphalt
835431065,['3'],835431,OTIS ST,065,RUSSELL ST,ASHBY AVE,25200,2022-07-08,34,2001-04-01,RECONSTRUCT STRUCTURE (AC),21.0,2001.0,4 - Reconstruct,Residential/Local,700,36,Asphalt
115432020,['6'],115432,OVERLOOK RD,020,END NORTH OF THE CROSSWAYS,PARK HILLS RD,37730,2022-07-07,54,2008-11-25,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,1715,22,Overlay of asphalt over asphalt
112434010,['5'],112434,OXFORD ST,010,INDIAN ROCK AVE,MARIN AVE,22425,2022-07-14,40,1998-08-10,RECONSTRUCT STRUCTURE (AC),23.0,1998.0,4 - Reconstruct,Residential/Local,975,23,Asphalt
114434020,['5'],114434,OXFORD ST,020,MARIN AVE,LOS ANGELES AVE,32200,2022-07-14,73,2003-11-06,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1400,23,Asphalt
517434030,['5'],517434,OXFORD ST,030,EUNICE ST,ROSE ST,48600,2022-07-14,45,2006-05-17,RECONSTRUCT STRUCTURE (AC),16.0,2006.0,4 - Reconstruct,Residential/Local,1350,36,Asphalt
517434035,['5'],517434,OXFORD ST,035,ROSE ST,CEDAR ST,43494,2022-07-14,61,,,,,,Arterial,1318,33,Portland cement
524434041,"['4', '6']",524434,OXFORD ST,041,CEDAR ST,161' N/O HEARST AVE,63425,2022-07-27,46,,,,,,Arterial,1475,43,Portland cement
524434042,"['4', '6']",524434,OXFORD ST,042,161' N/O HEARST AVE,HEARST AVE,6923,2022-07-27,94,2017-12-22,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Arterial,161,43,Overlay of asphalt over asphalt
524434045,"['4', '7']",524434,OXFORD ST,045,HEARST AVE,BERKELEY WAY,19720,2022-07-27,80,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Arterial,290,68,Asphalt
424434048,"['4', '7']",424434,OXFORD ST,048,BERKELEY WAY,UNIVERSITY AVE,21735,2022-07-27,71,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Arterial,315,69,Asphalt
729434052,"['4', '7']",729434,OXFORD ST,052,UNIVERSITY AVE,ADDISON ST,22400,2022-07-27,74,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Arterial,350,64,Asphalt
729434054,"['4', '7']",729434,OXFORD ST,054,ADDISON ST,KITTREDGE ST,62930,2022-07-27,77,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Arterial,1015,62,Asphalt
320440020,['1'],320440,PAGE ST,020,EAST FRONTAGE RD,2ND ST,9720,2022-07-21,89,,,,,,Residential/Local,270,36,Asphalt
320440022,['1'],320440,PAGE ST,022,2ND ST,RAILROAD TRACKS,5520,2022-07-21,89,,,,,,Residential/Local,345,16,Overlay of asphalt over asphalt
320440026,['1'],320440,PAGE ST,026,3RD ST,4TH ST,9900,2022-07-21,77,2019-07-03,RECONSTRUCT SURFACE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,330,30,Asphalt
